model,layer,projection,alpha,aggregate,n_matrices,gini_base_mean,gini_alpha_mean,delta_gini_mean,delta_gini_max,top_sv_rel_mean,top_sv_rel_max,top_sv_abs_delta_mean,top_sv_abs_delta_max,top_to_geomean_base_mean,top_to_geomean_base_max
llama31_8b_instruct,3,down_proj,-0.2,dense,1,0.20047686994075775,0.16229604184627533,-0.03818082809448242,-0.03818082809448242,0.7732435430381002,0.7732435430381002,-1.0102555751800537,-1.0102555751800537,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,-0.15,dense,1,0.20047686994075775,0.17194080352783203,-0.02853606641292572,-0.02853606641292572,0.8245883746323311,0.8245883746323311,-0.7815017700195312,-0.7815017700195312,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,-0.1,dense,1,0.20047686994075775,0.1815197467803955,-0.018957123160362244,-0.018957123160362244,0.8793426452207704,0.8793426452207704,-0.5375580787658691,-0.5375580787658691,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,-0.05,dense,1,0.20047686994075775,0.19103208184242249,-0.009444788098335266,-0.009444788098335266,0.9377327731045668,0.9377327731045668,-0.27741575241088867,-0.27741575241088867,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,0.0,dense,1,0.20047686994075775,0.20047686994075775,0.0,0.0,1.0,1.0,0.0,0.0,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,0.05,dense,1,0.20047686994075775,0.20985335111618042,0.009376481175422668,0.009376481175422668,1.0664019429483675,1.0664019429483675,0.2958369255065918,0.2958369255065918,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,0.1,dense,1,0.20047686994075775,0.21916063129901886,0.01868376135826111,0.01868376135826111,1.137213236485594,1.137213236485594,0.6113185882568359,0.6113185882568359,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,0.15,dense,1,0.20047686994075775,0.2283981442451477,0.027921274304389954,0.027921274304389954,1.212726388868375,1.212726388868375,0.9477481842041016,0.9477481842041016,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,down_proj,0.2,dense,1,0.20047686994075775,0.23756523430347443,0.037088364362716675,0.037088364362716675,1.2932537085830036,1.2932537085830036,1.3065171241760254,1.3065171241760254,3.617584027586068,3.617584027586068
llama31_8b_instruct,3,up_proj,-0.2,dense,1,0.17636968195438385,0.1431482434272766,-0.03322143852710724,-0.03322143852710724,0.8371577050078453,0.8371577050078453,-0.5027270317077637,-0.5027270317077637,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,-0.15,dense,1,0.17636968195438385,0.15155267715454102,-0.024817004799842834,-0.024817004799842834,0.8751962268228002,0.8751962268228002,-0.38529443740844727,-0.38529443740844727,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,-0.1,dense,1,0.17636968195438385,0.1598912477493286,-0.016478434205055237,-0.016478434205055237,0.9149632668639226,0.9149632668639226,-0.2625255584716797,-0.2625255584716797,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,-0.05,dense,1,0.17636968195438385,0.1681637018918991,-0.008205980062484741,-0.008205980062484741,0.9565370571463633,0.9565370571463633,-0.13417887687683105,-0.13417887687683105,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,0.0,dense,1,0.17636968195438385,0.17636968195438385,0.0,0.0,1.0,1.0,0.0,0.0,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,0.05,dense,1,0.17636968195438385,0.18450890481472015,0.008139222860336304,0.008139222860336304,1.045437741332831,1.045437741332831,0.1402754783630371,0.1402754783630371,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,0.1,dense,1,0.17636968195438385,0.19258108735084534,0.016211405396461487,0.016211405396461487,1.092940020139531,1.092940020139531,0.2869246006011963,0.2869246006011963,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,3,up_proj,0.15,dense,1,0.17636968195438385,0.20058593153953552,0.024216249585151672,0.024216249585151672,1.1426008229575517,1.1426008229575517,0.44023752212524414,0.44023752212524414,2.4320001247115695,2.4320001247115695
